Date (UT),Measure (px),Slope – m,Vertical – m ,Delta – m ,Image below overflow - m,Error – m
2013-12-12T22:40:02Z,147,38.6,31.6,0.0,-22.23,0.25
2013-12-20T00:00:02Z,147,38.6,31.6,0.0,-22.23,0.25
2013-12-26T02:40:02Z,145,38.0,31.2,0.4,-21.80,0.25
2014-01-06T00:20:01Z,144,37.8,31.0,0.6,-21.59,0.25
2014-01-17T00:00:02Z,144,37.8,31.0,0.6,-21.59,0.25
2014-01-24T23:50:01Z,144,37.8,31.0,0.6,-21.59,0.25
2014-01-30T23:20:01Z,142,37.3,30.6,1.1,-21.16,0.25
2014-01-31T00:00:02Z,140,36.7,30.1,1.5,-20.72,0.25
2014-02-01T00:00:02Z,141,37.0,30.3,1.3,-20.94,0.25
2014-02-04T03:30:02Z,141,37.0,30.3,1.3,-20.94,0.25
2014-02-06T00:00:02Z,142,37.3,30.6,1.1,-21.16,0.25
2014-02-13T00:40:01Z,140,36.7,30.1,1.5,-20.72,0.25
2014-02-15T00:40:02Z,142,37.3,30.6,1.1,-21.16,0.25
2014-02-16T00:00:01Z,138,36.2,29.7,1.9,-20.29,0.25
2014-02-18T00:20:01Z,141,37.0,30.3,1.3,-20.94,0.25
2014-02-20T00:10:01Z,139,36.5,29.9,1.7,-20.51,0.25
2014-02-24T00:00:02Z,137,36.0,29.5,2.2,-20.08,0.25
2014-02-27T00:20:01Z,137,36.0,29.5,2.2,-20.08,0.25
2014-03-03T23:50:02Z,138,36.2,29.7,1.9,-20.29,0.25
2014-03-05T00:00:02Z,138,36.2,29.7,1.9,-20.29,0.25
2014-03-07T01:00:02Z,138,36.2,29.7,1.9,-20.29,0.25
2014-03-10T00:10:01Z,138,36.2,29.7,1.9,-20.29,0.25
2014-03-14T00:40:01Z,137,36.0,29.5,2.2,-20.08,0.25
2014-03-17T02:20:02Z,135,35.4,29.0,2.6,-19.65,0.25
2014-03-20T00:40:01Z,139,36.5,29.9,1.7,-20.51,0.25
2014-03-23T06:10:01Z,137,36.0,29.5,2.2,-20.08,0.25
2014-03-26T01:40:02Z,134,35.2,28.8,2.8,-19.43,0.25
